big_cpu_freq,little_cpu_freq,fps,mem,little_util,big_util,ipc,cache_miss
710400,1036800,60,4062224,1.197750,0.560784,0.490463,0.000000
710400,1036800,60,4062444,1.475315,0.600000,0.467532,0.000000
710400,1036800,60,4061420,1.096970,0.522222,0.473684,0.000000
710400,1036800,60,4061896,1.750193,0.543269,0.340909,0.000000
710400,1036800,60,4061928,1.152656,0.510989,0.504202,0.000000
710400,1036800,60,4061276,1.238655,0.580357,0.482574,0.000000
710400,1036800,60,4062156,1.624624,0.571429,0.493151,0.000000
710400,1036800,60,4061504,1.529412,0.441026,0.472441,0.000000
710400,1036800,60,4060868,1.346429,0.733333,0.472441,0.000000
710400,1785600,60,4060948,1.596380,0.714286,0.486486,0.000000
710400,1036800,60,4062048,1.219457,0.538462,0.493151,0.000000
710400,1036800,60,4061924,1.524945,0.733333,0.461538,0.000000
710400,1113600,60,4061628,1.694398,0.615385,0.476190,0.000000
710400,1555200,60,4060420,1.672269,0.562500,0.491803,0.000000
710400,1785600,60,4060892,1.374496,0.660714,0.344828,0.000000
710400,1785600,60,4060020,1.652614,0.516667,0.480000,0.000000
710400,1036800,60,4059272,1.604118,0.689394,0.467532,0.000000
710400,1785600,60,4059824,1.126190,0.666667,0.460358,0.000000
710400,1036800,60,4060288,1.487179,0.552381,0.493151,0.000000
710400,1785600,60,4059820,1.547515,0.647059,0.382979,0.005556
710400,1785600,60,4060160,1.509979,0.754386,0.469974,0.000000
710400,1113600,60,4060716,1.209936,0.708333,0.471204,0.000000
710400,1113600,60,4060312,1.583333,0.533333,0.482574,0.000000
710400,1113600,60,4059892,1.640100,0.775000,0.504202,0.000000
710400,1036800,60,4059288,1.527778,0.712500,0.491803,0.000000
710400,1785600,60,4059432,1.268908,0.647059,0.504202,0.000000
710400,1785600,60,4059044,1.208253,0.666667,0.382979,0.000000
710400,1785600,60,4059296,1.210954,0.533333,0.490463,0.000000
825600,1785600,60,4058548,1.571818,0.553846,0.391304,0.000000
710400,1785600,60,4058112,1.462745,0.823529,0.502793,0.000000
710400,1036800,60,4058736,1.772176,0.440476,0.489130,0.000000
710400,1036800,60,4058664,1.463565,0.745098,0.480000,0.000000
710400,1036800,60,4059108,1.498039,0.690476,0.473684,0.000000
710400,1382400,60,4059448,1.344778,0.705882,0.437956,0.000000
710400,1036800,60,4059380,1.262955,0.849265,0.491803,0.000000
710400,1785600,60,4058496,1.674603,0.800654,0.487805,0.005556
710400,1785600,60,4058716,1.866758,0.822115,0.463918,0.005556
710400,1036800,60,4059012,1.308403,0.497436,0.448878,0.000000
710400,1036800,60,4058888,1.341737,0.461538,0.476190,0.000000
710400,1036800,60,4058996,1.241071,0.775000,0.472441,0.000000
710400,1036800,60,4058624,1.239881,0.533333,0.469974,0.000000
710400,1036800,60,4058044,1.392283,0.686275,0.504202,0.000000
940800,1036800,60,4057152,1.508929,0.785714,0.480000,0.005556
710400,1036800,60,4057784,1.546977,0.641667,0.435835,0.000000
710400,1036800,60,4057300,1.297436,0.587912,0.490463,0.005556
710400,1036800,60,4057248,1.503205,0.369048,0.482574,0.000000
710400,1036800,60,4057340,1.441245,0.516484,0.490463,0.000000
710400,1785600,60,4056892,1.353147,0.416667,0.493151,0.000000
710400,1036800,60,4057176,1.230952,0.383929,0.466321,0.000000
710400,1632000,60,4057148,1.436310,0.471429,0.474934,0.000000
710400,1036800,60,4057164,1.355676,0.404762,0.210035,0.038889
710400,1036800,58,4056964,1.535714,0.516484,0.467532,0.000000
710400,1036800,58,4056932,1.316667,0.786765,0.477454,0.000000
710400,1036800,58,4057244,1.449755,0.414286,0.466321,0.005556
710400,1036800,58,4057368,1.426050,0.450000,0.493151,0.000000
710400,1036800,58,4055676,1.695906,0.326923,0.478723,0.005556
710400,1305600,58,4056576,1.494608,0.400000,0.478723,0.000000
710400,1036800,60,4055424,1.625470,0.214286,0.485175,0.000000
710400,1036800,60,4056100,1.422386,0.387500,0.476190,0.000000
710400,1036800,60,4056024,1.506231,0.250000,0.493151,0.000000
710400,1036800,60,4056500,1.392063,0.378151,0.414747,0.000000
710400,1209600,60,4056192,1.762322,0.315789,0.476190,0.000000
710400,1036800,60,4056100,1.401515,0.480769,0.480000,0.000000
710400,1036800,60,4055260,1.356983,0.226190,0.461538,0.000000
710400,1113600,60,4055480,1.370798,0.349206,0.478723,0.000000
710400,1036800,60,4054892,1.388655,0.133333,0.480000,0.000000
710400,1036800,60,4054412,1.394737,0.320833,0.443350,0.000000
710400,1036800,60,4054304,1.476608,0.437500,0.480000,0.000000
710400,1036800,60,4054516,1.719457,0.450000,0.501393,0.005556
710400,1036800,60,4055320,1.409783,0.411765,0.480000,0.000000
710400,1036800,60,4055580,1.430147,0.387500,0.490463,0.000000
710400,1036800,60,4054852,1.263158,0.473684,0.432692,0.000000
710400,1305600,60,4053296,1.596362,0.368627,0.240000,0.000000
710400,1785600,60,4053684,1.498259,0.363971,0.467532,0.005556
710400,1785600,60,4053768,1.641923,0.450000,0.463918,0.000000
